|    name |     cenx |     ceny |      c1x |      c1y |      c2x |      c2y |      c3x |      c3y |      c4x |      c4y |   nx |   ny |    zerox |    zeroy |    xhatx |    xhaty |    yhatx |    yhaty |
| R03_S21 |   126.99 |  -211.76 |   106.63 |  -231.76 |   147.35 |  -231.76 |   147.35 |  -191.76 |   106.63 |  -191.76 | 4072 | 4000 |  106.635 | -231.755 |  116.635 | -231.755 |  106.635 | -221.755 |
| R03_S22 |   169.24 |  -211.76 |   148.88 |  -231.76 |    189.6 |  -231.76 |    189.6 |  -191.76 |   148.88 |  -191.76 | 4072 | 4000 |  148.885 | -231.755 |  158.885 | -231.755 |  148.885 | -221.755 |
| R10_S00 |  -296.26 |  -169.26 |  -316.62 |  -189.26 |   -275.9 |  -189.26 |   -275.9 |  -149.26 |  -316.62 |  -149.26 | 4072 | 4000 | -316.615 | -189.255 | -306.615 | -189.255 | -316.615 | -179.255 |
| R10_S01 |  -254.01 |  -169.26 |  -274.37 |  -189.26 |  -233.65 |  -189.26 |  -233.65 |  -149.26 |  -274.37 |  -149.26 | 4072 | 4000 | -274.365 | -189.255 | -264.365 | -189.255 | -274.365 | -179.255 |
| R10_S02 |  -211.76 |  -169.26 |  -232.12 |  -189.26 |   -191.4 |  -189.26 |   -191.4 |  -149.26 |  -232.12 |  -149.26 | 4072 | 4000 | -232.115 | -189.255 | -222.115 | -189.255 | -232.115 | -179.255 |
| R10_S10 |  -296.26 |  -127.01 |  -316.62 |  -147.01 |   -275.9 |  -147.01 |   -275.9 |  -107.01 |  -316.62 |  -107.01 | 4072 | 4000 | -316.615 | -147.005 | -306.615 | -147.005 | -316.615 | -137.005 |
| R10_S11 |  -254.01 |  -127.01 |  -274.37 |  -147.01 |  -233.65 |  -147.01 |  -233.65 |  -107.01 |  -274.37 |  -107.01 | 4072 | 4000 | -274.365 | -147.005 | -264.365 | -147.005 | -274.365 | -137.005 |
| R10_S12 |  -211.76 |  -127.01 |  -232.12 |  -147.01 |   -191.4 |  -147.01 |   -191.4 |  -107.01 |  -232.12 |  -107.01 | 4072 | 4000 | -232.115 | -147.005 | -222.115 | -147.005 | -232.115 | -137.005 |
| R10_S20 |  -296.26 |   -84.76 |  -316.62 |  -104.76 |   -275.9 |  -104.76 |   -275.9 |   -64.76 |  -316.62 |   -64.76 | 4072 | 4000 | -316.615 | -104.755 | -306.615 | -104.755 | -316.615 |  -94.755 |
| R10_S21 |  -254.01 |   -84.76 |  -274.37 |  -104.76 |  -233.65 |  -104.76 |  -233.65 |   -64.76 |  -274.37 |   -64.76 | 4072 | 4000 | -274.365 | -104.755 | -264.365 | -104.755 | -274.365 |  -94.755 |
| R10_S22 |  -211.76 |   -84.76 |  -232.12 |  -104.76 |   -191.4 |  -104.76 |   -191.4 |   -64.76 |  -232.12 |   -64.76 | 4072 | 4000 | -232.115 | -104.755 | -222.115 | -104.755 | -232.115 |  -94.755 |
| R11_S00 |  -169.25 |  -169.25 |  -189.73 |  -189.27 |  -148.77 |  -189.27 |  -148.77 |  -149.23 |  -189.73 |  -149.23 | 4096 | 4004 | -189.725 | -189.265 | -179.725 | -189.265 | -189.725 | -179.265 |
| R11_S01 |   -127.0 |  -169.25 |  -147.48 |  -189.27 |  -106.52 |  -189.27 |  -106.52 |  -149.23 |  -147.48 |  -149.23 | 4096 | 4004 | -147.475 | -189.265 | -137.475 | -189.265 | -147.475 | -179.265 |
| R11_S02 |   -84.75 |  -169.25 |  -105.23 |  -189.27 |   -64.27 |  -189.27 |   -64.27 |  -149.23 |  -105.23 |  -149.23 | 4096 | 4004 | -105.225 | -189.265 |  -95.225 | -189.265 | -105.225 | -179.265 |
| R11_S10 |  -169.25 |   -127.0 |  -189.73 |  -147.02 |  -148.77 |  -147.02 |  -148.77 |  -106.98 |  -189.73 |  -106.98 | 4096 | 4004 | -189.725 | -147.015 | -179.725 | -147.015 | -189.725 | -137.015 |
| R11_S11 |   -127.0 |   -127.0 |  -147.48 |  -147.02 |  -106.52 |  -147.02 |  -106.52 |  -106.98 |  -147.48 |  -106.98 | 4096 | 4004 | -147.475 | -147.015 | -137.475 | -147.015 | -147.475 | -137.015 |
